Wall time,Step,Value
1696912543.1860704,5746688,-630.52392578125
1696912644.728597,5754880,-722.17041015625
1696913050.0579276,5787648,-714.7545166015625
1696913202.134824,5799936,-755.3618774414062
1696913252.8854728,5804032,-792.6332397460938
1696913354.3611155,5812224,-549.5325927734375
1696913456.1257784,5820416,-598.8076171875
1696913506.906798,5824512,-700.4671630859375
1696913963.9786057,5861376,-669.8016967773438
1696914014.7213483,5865472,-722.2811279296875
1696914218.2268934,5881856,-696.7241821289062
1696914319.3151984,5890048,-752.04150390625
1696914370.0524685,5894144,-749.3067626953125
1696914420.8591063,5898240,-782.4761352539062
1696914471.4806962,5902336,-627.885009765625
1696914623.8505836,5914624,-566.8241577148438
1696914725.326348,5922816,-661.0785522460938
1696914776.078551,5926912,-656.4388427734375
1696914826.6641483,5931008,-681.8746948242188
1696914877.4191518,5935104,-687.2257080078125
1696914928.3061259,5939200,-707.324951171875
1696914984.212211,5943296,-709.2293090820312
1696915038.852304,5947392,-715.2018432617188
1696915140.7516196,5955584,-733.5547485351562
1696915191.169306,5959680,-734.7785034179688
1696915241.4508648,5963776,-753.9036865234375
1696915291.961923,5967872,-789.5964965820312
1696915342.4243698,5971968,-787.4910278320312
1696915393.4613245,5976064,-717.672119140625
1696915444.5144992,5980160,-559.4017333984375
1696915495.3859541,5984256,-552.8821411132812
1696915596.8044417,5992448,-672.607421875
1696915957.0867863,6021120,-738.4901733398438
1696916111.0801556,6033408,-685.4143676757812
1696916161.782102,6037504,-549.6810302734375
1696916262.7865014,6045696,-547.8951416015625
1696916313.3551638,6049792,-602.4740600585938
1696916515.6440618,6066176,-697.3591918945312
1696916566.2487917,6070272,-717.631103515625
1696916617.0581224,6074368,-740.9049682617188
1696916819.7730072,6090752,-582.0747680664062
1696916870.6316977,6094848,-615.9805908203125
1696916921.1660225,6098944,-534.8340454101562
1696916971.4950182,6103040,-597.5594482421875
1696917021.868041,6107136,-645.1209716796875
1696917122.8538232,6115328,-613.9087524414062
1696917173.0952742,6119424,-611.4044799804688
1696917374.4313169,6135808,-736.8062133789062
1696917424.718885,6139904,-717.3892822265625
1696917474.8732846,6144000,-734.1984252929688
1696917575.4590335,6152192,-762.214599609375
1696917727.9667556,6164480,-715.468994140625
1696917929.932359,6180864,-550.6911010742188
1696917980.241869,6184960,-543.8244018554688
1696918030.898485,6189056,-564.1448364257812
1696918132.0092304,6197248,-571.5146484375
1696918242.7722957,6205440,-659.4964599609375
1696918301.5128934,6209536,-661.5596313476562
1696918713.4794343,6238208,-761.1111450195312
1696918890.1637518,6250496,-776.1620483398438
1696919007.7557807,6258688,-649.5238647460938
1696919124.9180164,6266880,-629.2337646484375
1696919342.1909611,6283264,-642.4473876953125
1696919502.2394578,6295552,-664.0390014648438
1696919556.5674276,6299648,-718.4143676757812
1696919662.6742544,6307840,-747.41552734375
1696919714.943013,6311936,-731.92138671875
1696919923.2823322,6328320,-588.2596435546875
1696920027.0783257,6336512,-693.3715209960938
1696920078.8173583,6340608,-718.1895141601562
1696920232.1448398,6352896,-714.621337890625
1696920283.3145719,6356992,-684.4629516601562
1696920334.4481807,6361088,-691.1447143554688
1696920436.9665546,6369280,-754.6095581054688
1696920539.270108,6377472,-706.09716796875
1696920793.589112,6397952,-692.2977905273438
1696920895.0175705,6406144,-622.8954467773438
1696920945.8706307,6410240,-593.5765380859375
1696920996.8237417,6414336,-661.3762817382812
1696921099.707039,6422528,-672.8634643554688
1696921202.6000886,6430720,-743.4861450195312
1696921254.0277224,6434816,-708.462646484375
1696921305.4623342,6438912,-730.4606323242188
1696921357.1539712,6443008,-775.217041015625
1696921510.258059,6455296,-539.3729248046875
1696921611.899821,6463488,-560.6172485351562
1696921662.8520997,6467584,-600.871337890625
1696921713.7373953,6471680,-685.1259155273438
1696921764.5701098,6475776,-730.86376953125
1696921815.5559318,6479872,-682.1177978515625
1696921967.972099,6492160,-732.3089599609375
1696922225.4068427,6512640,-710.047607421875
1696922484.099847,6533120,-653.8895263671875
1696922535.8077676,6537216,-569.9149169921875
1696922587.6848404,6541312,-582.6106567382812
1696922795.3614953,6557696,-665.21533203125
